seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy
21.0,0.19047619047619047,0.19047619047619047,0.11428571428571428,0.14285714285714288,0.23809523809523814,0.23809523809523814,0.23809523809523814,0.5952380952380952,0.6190476190476191,0.4285714285714286,0.19047619047619047,0.4285714285714286,0.7402500420180183
4.0,0.75,0.75,0.875,0.7666666666666667,0.75,0.75,0.75,0.875,0.8666666666666667,0.75,0.75,0.75,0.928422060767084
4.0,0.75,0.75,1.0,0.8500000000000001,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.8049932735054938
6.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.23809523809523814,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.5833333333333334,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.5,0.8280524155100526
9.0,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6111111111111112,0.6296296296296297,0.4444444444444444,0.33333333333333337,0.4444444444444444,0.8374887114775766
4.0,0.75,0.75,0.875,0.7666666666666667,0.75,0.75,0.75,0.875,0.8666666666666667,0.75,0.75,0.75,0.928422060767084
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
19.0,0.6842105263157895,0.6842105263157895,0.8438596491228071,0.7407322654462242,0.736842105263158,0.736842105263158,0.6842105263157895,0.8421052631578947,0.8861988304093568,0.7894736842105263,0.5789473684210527,0.7894736842105263,0.9380415673843737
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.891156462585034,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8999476685022096
6.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8264236105193943
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,1.0,0.8000000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.8222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.66114589308445
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,1.0,0.8571428571428571,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.6999000673284724
2.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.5943609377704335
18.0,0.8888888888888888,0.8888888888888888,0.8958333333333334,0.8891067538126362,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9777777777777777,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9969884617134761
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.5943609377704335
12.0,0.75,0.75,0.8333333333333334,0.7870370370370371,0.8333333333333334,0.8333333333333334,0.75,0.875,0.9666666666666666,0.9166666666666666,0.6666666666666667,0.9166666666666666,0.9727530175354033
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8744588744588745,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9428571428571428,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.9152376494889709
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,0.6666666666666666,0.6666666666666666,0.75,0.7045454545454545,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.9666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9669122914083949
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,1.0,0.8571428571428571,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.6999000673284724
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7252747252747255,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8846153846153846,0.9641025641025641,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9790236479009948
8.0,0.5,0.5,0.5,0.5,0.75,0.75,0.625,0.8125,0.9333333333333333,0.875,0.75,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,1.0,0.8000000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.8222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.66114589308445
18.0,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285713,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9629629629629629,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8601634247287329
7.0,0.7142857142857143,0.7142857142857143,1.0,0.8326530612244899,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8095238095238096,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7927120377598456
17.0,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8509803921568627,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.9117647058823529,0.9764705882352941,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.970766649191081
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8470588235294118,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.9117647058823529,0.9579656862745098,0.8823529411764706,0.7058823529411764,0.9411764705882353,0.9854911978154174
18.0,0.8888888888888888,0.8888888888888888,0.8968253968253967,0.8891737891737892,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9777777777777777,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9968319417320937
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.875,0.875,0.9375,0.8901515151515151,0.875,0.875,0.875,0.9375,0.95,0.875,0.75,0.875,0.9398893018266746
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5.0,0.4,0.4,0.6,0.4800000000000001,0.6,0.6,0.6,0.7,0.8933333333333333,0.8,0.8,0.8,0.9545884345375117
9.0,0.6666666666666666,0.6666666666666666,0.7407407407407408,0.6888888888888889,0.7777777777777778,0.7777777777777778,0.6666666666666667,0.8333333333333334,0.9555555555555556,0.8888888888888888,0.6666666666666667,0.8888888888888888,0.9945751604429421
36.0,0.8611111111111112,0.8611111111111112,0.914141414141414,0.8810268068580088,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9305555555555556,0.9606060606060606,0.9166666666666666,0.6111111111111112,0.9166666666666666,0.9612628432462192
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,0.782608695652174,0.782608695652174,0.8260869565217391,0.8033126293995858,0.9130434782608696,0.9130434782608696,0.8695652173913043,0.9347826086956522,0.9826086956521739,0.9565217391304348,0.9130434782608696,0.9565217391304348,0.981340867277955
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,1.0,0.8571428571428571,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.6999000673284724
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8585858585858586,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.9090909090909091,0.9636363636363636,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9081983845565449
15.0,0.9333333333333333,0.9333333333333333,0.9388888888888888,0.9300207039337475,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9688888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9663250132783345
16.0,0.875,0.875,0.8875,0.876068376068376,0.875,0.875,0.875,0.9375,0.975,0.9375,0.75,0.9375,0.9927597022575586
27.0,0.8518518518518519,0.8518518518518519,0.8858024691358024,0.8632098765432098,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9623703703703704,0.9259259259259259,0.33333333333333337,0.9259259259259259,0.9847582919272263
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.4,0.4,0.16,0.2285714285714286,0.4,0.4,0.4,0.7,0.6,0.4,0.4,0.4,0.5528599744152733
